region,amplitude_A,frequency_THz,is_baseline,frame_count,mean_dislocation_density_A-2,delta_dislocation_density_A-2_vib_minus_base,reduction_dislocation_density_A-2_percent,mean_segment_number_density_A-3,delta_segment_number_density_A-3_vib_minus_base,reduction_segment_number_density_A-3_percent,mean_shockley_density_A-2,delta_shockley_density_A-2_vib_minus_base,reduction_shockley_density_A-2_percent,mean_perfect_density_A-2,delta_perfect_density_A-2_vib_minus_base,reduction_perfect_density_A-2_percent,mean_stair_rod_density_A-2,delta_stair_rod_density_A-2_vib_minus_base,reduction_stair_rod_density_A-2_percent,mean_hirth_density_A-2,delta_hirth_density_A-2_vib_minus_base,reduction_hirth_density_A-2_percent,mean_frank_density_A-2,delta_frank_density_A-2_vib_minus_base,reduction_frank_density_A-2_percent,mean_other_density_A-2,delta_other_density_A-2_vib_minus_base,reduction_other_density_A-2_percent,mean_hcp_fraction,delta_hcp_fraction_vib_minus_base,reduction_hcp_fraction_percent,mean_other_atom_fraction,delta_other_atom_fraction_vib_minus_base,reduction_other_atom_fraction_percent
elastic,0.5,0.8,0,91,3.0940627700576393e-06,3.0940627700576393e-06,nan,2.7700458647192157e-07,2.7700458647192157e-07,nan,3.0940627700576393e-06,3.0940627700576393e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,4.802604802604802e-05,4.802604802604802e-05,nan,0.29424175824175824,0.29424175824175824,nan
elastic,0.5,1.0,0,91,4.5296112322078e-06,4.5296112322078e-06,nan,6.232603195618236e-07,6.232603195618236e-07,nan,4.5296112322078e-06,4.5296112322078e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,6.023606023606024e-05,6.023606023606024e-05,nan,0.2668270248270248,0.2668270248270248,nan
elastic,0.5,1.2,0,91,1.4090119858301718e-06,1.4090119858301718e-06,nan,1.3850229323596078e-07,1.3850229323596078e-07,nan,5.437236886014684e-07,5.437236886014684e-07,nan,8.652882972287033e-07,8.652882972287033e-07,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,2.9304029304029302e-05,2.9304029304029302e-05,nan,0.23546601546601548,0.23546601546601548,nan
elastic,0.5,1.5,0,91,1.286841050826333e-05,1.286841050826333e-05,nan,1.3157717857416275e-06,1.3157717857416275e-06,nan,5.421382207550225e-06,5.421382207550225e-06,nan,6.855279169695832e-06,6.855279169695832e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,5.917491310172739e-07,5.917491310172739e-07,nan,4.9654049654049646e-05,4.9654049654049646e-05,nan,0.18486202686202685,0.18486202686202685,nan
flow,,,1,291,0.009112288978637645,0.0,0.0,0.0006696207495405018,0.0,0.0,0.006264538056978461,0.0,0.0,0.0001688929078699701,0.0,0.0,0.0007016698955767818,0.0,0.0,0.000490196497331637,0.0,0.0,2.291937910205496e-06,0.0,0.0,0.0014846996829705889,0.0,0.0,0.2701975308641975,0.0,0.0,0.3297576683212422,0.0,0.0
flow,0.1,0.5,0,291,0.007697319419351449,-0.0014149695592861958,15.528146249568836,0.0006472719052752517,-2.23488442652501e-05,3.3375375958086764,0.006284257410908426,1.9719353929964836e-05,-0.3147774624498963,6.314706921434363e-05,-0.00010574583865562646,62.61117769198439,0.0006959836634997073,-5.686232077074544e-06,0.81038564044427,0.00016894944652936613,-0.0003212470508022708,65.53434236086242,1.4919742331815074e-07,-2.142740486887345e-06,93.4903374714556,0.0004848326317762875,-0.0009998670511943014,67.34473393257323,0.20389257986508846,-0.06630495099910905,24.53943631055393,0.39614102074583174,0.06638335242458954,-20.130950331660046
flow,0.1,0.8,0,291,0.007762897777543495,-0.0013493912010941493,14.808476819135002,0.0006607851599472633,-8.835589593238495e-06,1.319491607645303,0.0062863923199522895,2.1854262973828448e-05,-0.34885673572504866,7.527554860744204e-05,-9.361735926252805e-05,55.43001209654324,0.0007006153184792714,-1.0545770975104113e-06,0.15029533177328852,0.00016833586538955074,-0.0003218606319420862,65.65951280641954,0.0,-2.291937910205496e-06,100.0,0.000532278725114942,-0.0009524209578556468,64.14906454011238,0.2049005981926944,-0.0652969326715031,24.166369123602998,0.397907089219804,0.0681494208985618,-20.666515882861056
flow,0.1,1.0,0,291,0.007997331825963998,-0.001114957152673646,12.235752787115192,0.0006764856561607385,6.864906620236656e-06,-1.0251932343714558,0.006466972571838169,0.0002024345148597083,-3.231435630504372,7.432286416379301e-05,-9.457004370617708e-05,55.99408814666519,0.0007480152275894686,4.634533201268681e-05,-6.605005046509847,0.00016594596522718962,-0.0003242505321044473,66.14705202291138,0.0,-2.291937910205496e-06,100.0,0.0005420751971453776,-0.0009426244858252112,63.48923601433032,0.2060239277077765,-0.06417360315642101,23.750625311478125,0.3936163930253277,0.06385872470408549,-19.365349418311574
flow,0.1,1.2,0,291,0.007852468468891382,-0.0012598205097462626,13.825510941320204,0.0006546132407461042,-1.5007508794397605e-05,2.241195304162223,0.0063382672745770615,7.37292175986004e-05,-1.1769298378907416,8.656734427169809e-05,-8.2325563598272e-05,48.74423955187869,0.0007240134205078546,2.2343524931072757e-05,-3.1843356928839146,0.0001623933379593966,-0.00032780315937224033,66.87178736621384,0.0,-2.291937910205496e-06,100.0,0.0005412270915753718,-0.0009434725913952171,63.54635905272883,0.20531271477663232,-0.06488481608756519,24.013844937826832,0.3947216494845361,0.06496398116329388,-19.70052174799086
flow,0.1,1.5,0,291,0.007791708181611729,-0.0013205807970259158,14.492305941150613,0.0006441101501757104,-2.5510599364791378e-05,3.809708612269993,0.006263369170581231,-1.168886397230097e-06,0.018658780369735343,7.18672438552482e-05,-9.702566401472188e-05,57.448039256581175,0.000710561218889255,8.891323312473168e-06,-1.26716613731367,0.00017469453232371829,-0.00031550196500791867,64.36234586035187,0.0,-2.291937910205496e-06,100.0,0.0005712160159622761,-0.0009134836670083127,61.526494380372846,0.20499936362479318,-0.06519816723940433,24.12981607599265,0.39499809087437954,0.06524042255313733,-19.78435342694795
flow,0.2,0.5,0,291,0.0075127867789634905,-0.001599502199674154,17.553242697020917,0.0006258109511406947,-4.380979839980711e-05,6.542479221241229,0.006159152957144757,-0.00010538509983370418,1.6822485373252563,3.8217019604391675e-05,-0.0001306758882655784,77.37204001850996,0.0006759647547038764,-2.5705140872905462e-05,3.663423646211229,0.0001749823435587967,-0.00031521415377284024,64.30363241856982,0.0,-2.291937910205496e-06,100.0,0.0004644697039516692,-0.0010202299790189196,68.71625223073008,0.19768053964617538,-0.07251699121802213,26.83850995458189,0.4029680539646175,0.07321038564337529,-22.201268590987077
flow,0.2,0.8,0,291,0.007793201858835022,-0.0013190871198026227,14.475914041960467,0.000657839963416184,-1.1780786124317849e-05,1.759322143527049,0.006343247458469955,7.870940149149429e-05,-1.2564278606914194,7.797776300573482e-05,-9.091514486423526e-05,53.83005480267439,0.0006588887853362679,-4.2781110240513965e-05,6.097042285866823,0.000186774794178888,-0.0003034217031527489,61.89797454784186,8.80925169789395e-08,-2.2038453932265565e-06,96.1564178249907,0.0005262249653271967,-0.0009584747176433922,64.55680759126147,0.1992534046073565,-0.07094412625684102,26.256393250498594,0.40298587247040857,0.07322820414916636,-22.206672106205325
flow,0.2,1.0,0,291,0.007659403088950677,-0.0014528858896869674,15.944247302659456,0.0006450196961632498,-2.4601053377252017e-05,3.6738785938359024,0.006184175522078356,-8.036253490010473e-05,1.2828166126404783,6.175762979876018e-05,-0.00010713527807120991,63.43385250592814,0.0006668414942144427,-3.4828401362339075e-05,4.9636448110275095,0.00021716521163607654,-0.0002730312856955604,55.69833468451818,6.253602494643112e-08,-2.2294018852590648e-06,97.27147822513115,0.0005294006951980951,-0.0009552989877724937,64.34291047069738,0.20077434135166095,-0.06942318951253657,25.693495159076406,0.3993913707521955,0.06963370243095329,-21.116628700539504
flow,0.2,1.2,0,291,0.00771514177157594,-0.0013971472070617042,15.332560351598817,0.0006501088225221003,-1.9511927018401546e-05,2.9138773002166913,0.006261462605416983,-3.0754515614782665e-06,0.04909303022035804,3.934022392617192e-05,-0.00012955268394379817,76.70700065365695,0.000677036663422949,-2.4633232153832866e-05,3.5106582609738486,0.00018919616583052724,-0.0003010003315011097,61.404015153023686,0.0,-2.291937910205496e-06,100.0,0.0005481061129793087,-0.0009365935699912802,63.08303158773111,0.20050375461372025,-0.06969377625047726,25.793639204462483,0.39861244749904545,0.06885477917780325,-20.88041789242837
flow,0.2,1.5,0,291,0.0077374110288523585,-0.001374877949785286,15.088173268083082,0.0006536387271880265,-1.5982022352475336e-05,2.386727466770154,0.006309779483397163,4.5241426418702116e-05,-0.7221829607740168,5.064247509527855e-05,-0.00011825043277469155,70.0150374968569,0.0006549815587727324,-4.668833680404941e-05,6.653889114862337,0.00020612249384408565,-0.00028407400348755133,57.951047189014126,0.0,-2.291937910205496e-06,100.0,0.0005158850177430995,-0.0009688146652274893,65.25324120020582,0.20177141402570956,-0.06842611683848795,25.324478954205997,0.39735980654193714,0.06760213822069494,-20.50055077258689
flow,0.3,0.5,0,291,0.007296371230192318,-0.0018159177484453268,19.92822827175988,0.0006104352927799123,-5.918545676058954e-05,8.838653342388657,0.006032870008357397,-0.00023166804862106375,3.6980866987150667,5.3809909777121456e-05,-0.00011508299809284862,68.13962737941046,0.0006486407490098551,-5.302914656692668e-05,7.5575633073635045,0.00012973548294843788,-0.0003604610143831991,73.53398409522563,2.9860589740092997e-06,6.941210638038039e-07,-30.285334550863503,0.00042832902112549575,-0.001056370661845093,71.15046052488577,0.17871961308387424,-0.09147791778032327,33.855941424683294,0.4269130711467481,0.09715540282550589,-29.462666727391877
flow,0.3,0.8,0,291,0.007394783630379989,-0.0017175053482576556,18.848231792078607,0.0006210250067776906,-4.8595742762811236e-05,7.257203842049094,0.0060914684328805735,-0.0001730696240978876,2.762687727710338,6.470159419627143e-05,-0.00010419131367369866,61.6907571713521,0.000661936104747786,-3.973379082899584e-05,5.662746981090609,0.00014365260766289334,-0.0003465438896687436,70.69489307964052,1.8016499959876008e-06,-4.90287914217895e-07,21.391849754513448,0.0004312232408964769,-0.001053476442074112,70.95552414790815,0.1815761741122566,-0.08862135675194091,32.7987293105511,0.4248858342878961,0.09512816596665391,-28.847901081706546
flow,0.3,1.0,0,291,0.007555364548731408,-0.0015569244299062368,17.08598611782622,0.0006333905010368551,-3.623024850364675e-05,5.410562400957286,0.006128552227051973,-0.0001359858299264877,2.170723981395637,9.222387247816098e-05,-7.66690353918091e-05,45.39505912873278,0.0006887007270011687,-1.2969168575613149e-05,1.8483290586312418,0.00013787609472379564,-0.0003523204026078413,71.87330071220049,3.940602593994475e-06,1.6486646837889789e-06,-71.93321758184797,0.000504071024882314,-0.0009806286580882747,66.04895719558799,0.18323914980272368,-0.08695838106147383,32.18326266096766,0.42127198676339567,0.09151431844215346,-27.75199100237522
flow,0.3,1.2,0,291,0.007492496852273451,-0.0016197921263641935,17.775908228564152,0.0006394108292400911,-3.0209920300410757e-05,4.511497040846032,0.006109205477419144,-0.00015533257955931742,2.4795536102822897,9.947183241926886e-05,-6.942107545070123e-05,41.103606022431805,0.0006909342216279847,-1.0735673948797158e-05,1.5300177500093963,0.00013638407683050585,-0.0003538124205011311,72.17767210232905,9.924050322647233e-07,-1.2995328779407725e-06,56.700178139828225,0.00045550883894428224,-0.0010291908440263067,69.3197995413524,0.1831729667812142,-0.08702456408298331,32.207756971222004,0.4191996945399007,0.08944202621865849,-27.123562182495224
