region,amplitude_A,frequency_THz,is_baseline,analysis_stage,frame_count,mean_dislocation_density_A-2,delta_dislocation_density_A-2_vib_minus_base,reduction_dislocation_density_A-2_percent,mean_segment_number_density_A-3,delta_segment_number_density_A-3_vib_minus_base,reduction_segment_number_density_A-3_percent,mean_shockley_density_A-2,delta_shockley_density_A-2_vib_minus_base,reduction_shockley_density_A-2_percent,mean_perfect_density_A-2,delta_perfect_density_A-2_vib_minus_base,reduction_perfect_density_A-2_percent,mean_stair_rod_density_A-2,delta_stair_rod_density_A-2_vib_minus_base,reduction_stair_rod_density_A-2_percent,mean_hirth_density_A-2,delta_hirth_density_A-2_vib_minus_base,reduction_hirth_density_A-2_percent,mean_frank_density_A-2,delta_frank_density_A-2_vib_minus_base,reduction_frank_density_A-2_percent,mean_other_density_A-2,delta_other_density_A-2_vib_minus_base,reduction_other_density_A-2_percent,mean_hcp_fraction,delta_hcp_fraction_vib_minus_base,reduction_hcp_fraction_percent,mean_other_atom_fraction,delta_other_atom_fraction_vib_minus_base,reduction_other_atom_fraction_percent
elastic,0.2,0.8,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.2,0.8,0,during_vibration,91,6.143740858097111e-05,6.143740858097111e-05,nan,7.963881861067746e-06,7.963881861067746e-06,nan,5.606696455317635e-05,5.606696455317635e-05,nan,4.17797228511166e-06,4.17797228511166e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,1.1924717426831177e-06,1.1924717426831177e-06,nan,0.00019943019943019944,0.00019943019943019944,nan,0.1414171754171754,0.1414171754171754,nan
elastic,0.2,1.0,0,after_removal,13,0.001890073579734091,0.001890073579734091,nan,0.00014833595605571402,0.00014833595605571402,nan,0.001779720215504373,0.001779720215504373,nan,4.1734579771076136e-05,4.1734579771076136e-05,nan,2.0638475940829548e-05,2.0638475940829548e-05,nan,0.0,0.0,nan,0.0,0.0,nan,4.798030851781219e-05,4.798030851781219e-05,nan,0.015082621082621083,0.015082621082621083,nan,0.24094017094017095,0.24094017094017095,nan
elastic,0.2,1.0,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.2,1.0,0,during_vibration,91,0.00012240948960568417,0.00012240948960568417,nan,1.1564941485202728e-05,1.1564941485202728e-05,nan,9.67515438979119e-05,9.67515438979119e-05,nan,2.502410882359126e-05,2.502410882359126e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,6.338368841810142e-07,6.338368841810142e-07,nan,0.00025396825396825396,0.00025396825396825396,nan,0.1425925925925926,0.1425925925925926,nan
elastic,0.2,1.2,0,after_removal,13,0.0016958464031826092,0.0016958464031826092,nan,0.0001274913609237019,0.0001274913609237019,nan,0.0015333041431365173,0.0015333041431365173,nan,3.479039890924798e-05,3.479039890924798e-05,nan,8.736674039077665e-05,8.736674039077665e-05,nan,1.1051843540154641e-05,1.1051843540154641e-05,nan,0.0,0.0,nan,2.9333277205912686e-05,2.9333277205912686e-05,nan,0.010074074074074072,0.010074074074074072,nan,0.16648433048433048,0.16648433048433048,nan
elastic,0.2,1.2,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.2,1.2,0,during_vibration,91,8.99189597170354e-05,8.99189597170354e-05,nan,1.1218685752112823e-05,1.1218685752112823e-05,nan,4.0732630569680024e-05,4.0732630569680024e-05,nan,4.8013664944621225e-05,4.8013664944621225e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,1.1726642027341552e-06,1.1726642027341552e-06,nan,0.00013756613756613756,0.00013756613756613756,nan,0.1396043956043956,0.1396043956043956,nan
elastic,0.2,1.5,0,after_removal,13,0.001947847322574592,0.001947847322574592,nan,0.00017499764750363646,0.00017499764750363646,nan,0.0015969362014603328,0.0015969362014603328,nan,6.342216057150218e-05,6.342216057150218e-05,nan,0.00010640300048587965,0.00010640300048587965,nan,3.8796892650893245e-05,3.8796892650893245e-05,nan,0.0,0.0,nan,0.0001422890674059841,0.0001422890674059841,nan,0.010792022792022793,0.010792022792022793,nan,0.1923874643874644,0.1923874643874644,nan
elastic,0.2,1.5,0,before,11,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
